eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
dim 1;0.2954;10.7412;10.7412;
dim 2;0.2545;9.2532;19.9944;
dim 3;0.2324;8.4512;28.4456;
dim 4;0.2134;7.7596;36.2052;
dim 5;0.2055;7.4738;43.6789;
dim 6;0.1958;7.1183;50.7972;
dim 7;0.17;6.1815;56.9787;
dim 8;0.1639;5.9606;62.9393;
dim 9;0.1464;5.3227;68.262;
dim 10;0.1317;4.7904;73.0524;
dim 11;0.127;4.6196;77.672;
dim 12;0.109;3.9632;81.6352;
dim 13;0.0911;3.3122;84.9473;
dim 14;0.0842;3.0626;88.0099;
dim 15;0.0635;2.3077;90.3176;
dim 16;0.0575;2.0919;92.4095;
dim 17;0.0493;1.7936;94.2031;
dim 18;0.0398;1.4467;95.6498;
dim 19;0.0367;1.3334;96.9832;
dim 20;0.0366;1.3313;98.3145;
dim 21;0.0269;0.9782;99.2927;
dim 22;0.0194;0.7073;100;

ind
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
Batman (Bruce Wayne);-0.5254;-0.3232;-0.1888;0;-0.2642;
Superman (Clark Kent);-0.5254;-0.3232;-0.1888;0;-0.2642;
Green Lantern (Hal Jordan);-0.5171;0.2974;0.1368;0;-0.6952;
James Gordon (New Earth);-0.3581;0.1347;-0.2977;0;-0.2402;
Richard Grayson (New Earth);-0.5254;-0.3232;-0.1888;0;-0.2642;
Wonder Woman (Diana Prince);-0.0201;-0.3299;-0.397;0;-0.196;
Aquaman (Arthur Curry);-0.2962;-0.493;-0.4028;0;-0.0909;
Timothy Drake (New Earth);-0.5254;-0.3232;-0.1888;0;-0.2642;
Dinah Laurel Lance (New Earth);0.0411;-0.5846;-0.3913;0;-0.2693;
Flash (Barry Allen);-0.4642;-0.5779;-0.1831;0;-0.3376;
GenderTest;-0.1268;-0.6696;-0.1716;0;-0.516;
Alan Scott (New Earth);-0.2421;-0.9979;-0.316;0;0.1163;
Barbara Gordon (New Earth);0.4131;-0.5796;0.0708;0;-0.4956;
Jason Garrick (New Earth);-0.2799;-0.0602;-0.1825;0;-0.3166;
Lois Lane (New Earth);-0.0201;-0.3299;-0.397;0;-0.196;
Alfred Pennyworth (New Earth);-0.3575;-0.2382;-0.4085;0;-0.0176;
Carter Hall (New Earth);-0.4479;-0.1452;0.0372;0;-0.5632;
Spider-Man (Peter Parker);-0.281;0.3327;0.6617;0;-1.012;
Captain America (Steven Rogers);-0.1181;-0.0644;-0.2311;0;0.1422;
Wolverine (James \"Logan\" Howlett);-0.2129;0.4977;-0.3877;0;0.4523;
