Dim 1
quali
   ;R2;p.value;
EYE;0.654;0;
SEX;0.4693;0;
HAIR;0.6374;0;
GSM;0.305;0;
company;0.1165;0.01;
ID;0.1322;0.0234;

category
   ;Estimate;p.value;
Green Eyes;1.2704;0;
Female;0.3986;0;
Red;1.0573;0;
Bisexual Characters;1.1332;0;
Marvel;0.2018;0.01;
Auburn;0.6283;0.0498;
Black;-0.3633;0.0397;
DC;-0.2018;0.01;
Secret;-0.3078;0.0072;
Unspecified;-1.1332;0;
Male;-0.3986;0;

Dim 2
quali
   ;R2;p.value;
ALIGN;0.4321;0;
ID;0.3335;0;
EYE;0.4141;1e-04;
HAIR;0.4744;2e-04;
company;0.204;5e-04;
ALIVE;0.1456;0.0037;

category
   ;Estimate;p.value;
Neutral;0.5013;0;
Brown Eyes;0.6373;0;
No Dual;0.584;0;
Brown;0.5952;0;
Marvel;0.2478;5e-04;
Living;0.4275;0.0037;
Secret;-0.3785;0.0321;
Deceased;-0.4275;0.0037;
Blond;-0.2858;0.0013;
DC;-0.2478;5e-04;
Blue Eyes;-0.2637;1e-04;
Good;-0.5013;0;

